datetime,open,high,low,close,volume
2013-06-08 18:30:00,399.45,400.35,396.05,397.3,6009116.0
2013-06-11 18:30:00,399.8,399.8,394.6,395.6,5986811.0
2013-06-12 18:30:00,397.95,398.5,394.5,395.55,6508093.0
2013-06-13 18:30:00,396.3,397.15,392.7,396.45,9256282.0
2013-06-14 18:30:00,397.1,397.45,388.25,388.95,14351160.0
2013-06-15 18:30:00,385.55,388.65,379.15,381.3,20555324.0
2013-06-18 18:30:00,382.0,382.0,377.1,380.15,5314720.0
2013-06-19 18:30:00,381.8,384.95,380.6,382.5,5901329.0
2013-06-20 18:30:00,384.25,387.25,383.1,385.5,4414632.0
2013-06-21 18:30:00,386.0,386.0,381.6,382.3,4678087.0
2013-06-22 18:30:00,382.3,383.0,378.1,379.95,3235203.0
2013-06-25 18:30:00,380.0,381.9,379.05,380.9,2050200.0
2013-06-26 18:30:00,384.25,384.25,381.5,382.6,2940375.0
2013-06-27 18:30:00,383.75,383.75,380.8,381.7,3570056.0
2013-06-29 18:30:00,385.0,389.75,383.0,389.15,4535405.0
2013-07-02 18:30:00,393.9,393.9,389.5,391.6,4518462.0
2013-07-03 18:30:00,393.75,397.35,393.0,395.95,6308617.0
2013-07-04 18:30:00,394.1,395.4,391.85,393.9,6183479.0
2013-07-05 18:30:00,394.5,396.95,393.15,396.2,4518621.0
2013-07-06 18:30:00,395.0,397.45,393.2,395.85,4532610.0
2013-07-09 18:30:00,395.85,395.85,389.65,389.95,2815200.0
2013-07-10 18:30:00,390.0,392.8,387.85,392.05,4817419.0
2013-07-11 18:30:00,393.9,393.95,390.35,391.85,3424110.0
2013-07-12 18:30:00,391.85,398.6,391.25,394.3,6797863.0
2013-07-13 18:30:00,394.75,405.5,392.35,405.05,15683392.0
2013-07-16 18:30:00,407.0,424.95,405.8,415.25,22879930.0
2013-07-17 18:30:00,418.0,420.3,412.25,417.2,8884513.0
2013-07-18 18:30:00,420.0,421.0,414.15,417.95,5415495.0
2013-07-19 18:30:00,418.5,420.0,414.65,417.65,4127855.0
2013-07-20 18:30:00,405.0,414.35,401.0,404.7,11757106.0
2013-07-23 18:30:00,406.3,408.0,403.5,404.05,3404230.0
2013-07-24 18:30:00,405.5,405.5,400.0,400.4,3229100.0
2013-07-25 18:30:00,403.5,403.6,401.4,402.75,2664831.0
2013-07-26 18:30:00,404.0,406.6,399.0,399.95,4474179.0
2013-07-27 18:30:00,401.05,402.85,396.55,398.75,3380030.0
2013-07-30 18:30:00,399.75,406.0,398.95,405.05,3381090.0
2013-07-31 18:30:00,405.5,408.0,404.05,406.95,3590902.0
2013-08-01 18:30:00,405.9,405.9,399.0,402.8,2699809.0
2013-08-02 18:30:00,402.0,402.0,397.05,399.65,3410849.0
2013-08-03 18:30:00,400.85,410.0,400.3,408.85,6240770.0
2013-08-06 18:30:00,409.95,413.0,408.05,411.15,4411433.0
2013-08-07 18:30:00,412.4,417.5,409.95,416.35,7862142.0
2013-08-08 18:30:00,415.5,418.5,412.55,417.8,4654694.0
2013-08-09 18:30:00,417.1,420.8,415.55,418.65,4950822.0
2013-08-10 18:30:00,418.65,422.15,412.35,413.05,3785734.0
2013-08-13 18:30:00,413.25,416.2,409.5,415.15,2896090.0
2013-08-15 18:30:00,414.15,420.2,414.0,418.65,4065890.0
2013-08-16 18:30:00,418.65,420.4,414.5,417.55,3170480.0
